         310300 function calls (310295 primitive calls) in 0.064 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.064    0.064 /home/alvis/cours/pfe/raycloudsim/pfe/profile_round_robin.py:14(run_simulation)
        1    0.000    0.000    0.064    0.064 /home/alvis/cours/pfe/raycloudsim/core/env.py:141(run)
        1    0.004    0.004    0.064    0.064 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/core.py:206(run)
    30001    0.009    0.000    0.059    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/core.py:181(step)
    30000    0.009    0.000    0.047    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/events.py:387(_resume)
    30000    0.005    0.000    0.035    0.000 {method 'send' of 'generator' objects}
    20000    0.009    0.000    0.020    0.000 /home/alvis/cours/pfe/raycloudsim/core/env.py:460(_track_node_energy)
    30000    0.006    0.000    0.017    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/events.py:229(__init__)
    30004    0.006    0.000    0.011    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/core.py:164(schedule)
    10000    0.004    0.000    0.010    0.000 /home/alvis/cours/pfe/raycloudsim/core/env.py:348(_monitor_done_task_collector)
    30001    0.003    0.000    0.003    0.000 {built-in method _heapq.heappop}
    30004    0.002    0.000    0.002    0.000 {built-in method _heapq.heappush}
    30001    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    30004    0.002    0.000    0.002    0.000 {built-in method builtins.next}
    10003    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:22(__init__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/env.py:88(__init__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/env.py:411(reset)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:42(load_config)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:272(reset)
        2    0.000    0.000    0.000    0.000 /home/alvis/anaconda3/lib/python3.12/json/__init__.py:274(load)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:89(init_infrastructure_links)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:243(add_bilateral_links)
        2    0.000    0.000    0.000    0.000 /home/alvis/anaconda3/lib/python3.12/json/__init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:47(init_infrastructure_nodes)
        2    0.000    0.000    0.000    0.000 /home/alvis/anaconda3/lib/python3.12/json/decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:224(get_links)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/infrastructure.py:121(get_links)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open}
